name,image,rank,url
Chua Kheng Wee Louis,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/206212123_222169109728687_5953681485779553111_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=09cbfe&_nc_ohc=z4A8s-mcIPoAX-3E1as&_nc_ht=scontent.fsin5-1.fna&oh=0bf38b7dae4d510c91c15d81783eafe2&oe=613C92CE,884,https://www.instagram.com/chuakhengwee/
Foo Mee Har,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/174227791_5557900500916895_3157237650305033810_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=09cbfe&_nc_ohc=pL944QPULgIAX9CuRlz&_nc_ht=scontent.fsin5-1.fna&oh=e6eeda2c8878c8207a4c870209547935&oe=613C5547,884,https://en.wikipedia.org/wiki/Foo_Mee_Har
Koh Poh Koon,https://www.parliament.gov.sg/images/default-source/default-album/kpk-suit.jpg?sfvrsn=d3674c08_0,1000,https://en.wikipedia.org/wiki/Koh_Poh_Koon
Darryl David,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Darryl-David.jpg,973,https://www.instagram.com/ericchuasl.sg/
Gerald Giam,http://geraldgiam.sg/wp-content/uploads/20200208_Jewel3.jpg,837,https://www.linkedin.com/in/geraldgiam/?originalSubdomain=sg
Gan Thiam Poh,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Gan-Thiam-Poh.jpg,961,https://www.instagram.com/ganthiam/
Heng Chee How,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Heng-Chee-How.jpg,999,https://www.mindef.gov.sg/web/portal/mindef/about-us/leadership-biographies/biographies-detail/political-office-holders/02-minister
Amy Khor Lean Suan,https://www2.cifor.org/asia-pacific-rainforest-summit-2018/wp-content/uploads/sites/34/2018/04/web-amy-khor.jpg,989,https://mothership.sg/2020/04/amy-khor-clarifies-egg-hoarding-concern/
Mariam Jaafar,https://upload.wikimedia.org/wikipedia/commons/7/7e/Mariam_Jaafar.jpg,1000,https://www.bcg.com/en-sea/about/people/experts/mariam-jaafar
Muhammad Faishal Ibrahim,https://papneesoon.sg/wp-content/uploads/2015/02/prof.jpg,1000,https://www.facebook.com/muhammad.faishal.ibrahim1/
Joan Pereira,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/04/Joan-Cheng-Sim-Pereira.jpg,1000,https://en.wikipedia.org/wiki/Joan_Pereira
Poh Li San,https://scontent.fsin5-1.fna.fbcdn.net/v/t1.6435-9/205900325_374239700836161_2021715975942676498_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=wjx4WYgoctwAX8XwT8n&_nc_oc=AQlD8LiLkg65QNPG04HE0eIklTe10iIjnyjoAAEqzBTJn5B_TpZhtytO5C86f-yZU2aXAp98mC8GFR_k23horf5I&_nc_ht=scontent.fsin5-1.fna&oh=fa5e2e512966fb9b6a8523cc2de8bc2f&oe=613F0AA9,1000,https://www.straitstimes.com/politics/too-soon-to-tell-if-i-will-be-a-pap-candidate-says-changi-vp-poh-li-san
Pritam Singh,https://upload.wikimedia.org/wikipedia/commons/5/58/Pritam_Singh_Singapore_4_%28cropped%29.jpg,1000,https://www.channelnewsasia.com/singapore/leader-of-opposition-pritam-singh-duties-privileges-parliament-638081
Hany Soh,https://upload.wikimedia.org/wikipedia/commons/5/56/Hany_Soh.jpg,1000,https://www.youtube.com/watch?v=G56UheMbBE0&ab_channel=People%27sActionParty
Alvin Tan,https://www.uniconglobal.com/wp-content/uploads/2021/01/MOS-Alvin-Tan-headshot-2-edited.png,1000,https://www.youtube.com/watch?v=8E9X2t7emPw&ab_channel=MustShareNews
Desmond Tan,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/06/Desmond-Tan-Kok-Ming-1.jpg,1000,https://mustsharenews.com/desmond-tan-pap/
Teo Chee Hean,https://upload.wikimedia.org/wikipedia/commons/b/bc/Teo_Chee_Hean_2.jpg,1000,https://www.instagram.com/teocheehean/
Tan Kiat How,https://s3-ap-southeast-1.amazonaws.com/pap-dr-wp/2020/06/Tan-Kiat-How-1.jpg,1031,https://www.instagram.com/kiathowsg/
Sim Ann,https://upload.wikimedia.org/wikipedia/commons/9/90/Sim_Ann_5_%28cropped%29.jpg,984,https://www.mfa.gov.sg/About-MFA/Organisation-Chart/Sim-Ann
Sitoh Yih Pin,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAQEBAQEBAVDxEQFQ8PFQ8PDxAQDxAPFRUWFhUVFRUYHSggGBolHRUVITEhJSkrLi4vFx8zODMsNygtLisBCgoKDg0OFxAQFisdHh8rLS0rLS0tLS0tLS0tLS0rLS0tLS0tLS0tLS0tLSstLS0tKy0tLSstLSstNy0tLTgtLf/AABEIAP0AxwMBIgACEQEDEQH/xAAcAAACAwEBAQEAAAAAAAAAAAAAAQIDBAUGBwj/xAA5EAACAQIDBQYDBwMFAQAAAAAAAQIDEQQhMQUSQVFhBhMicYGRMqHBByNCUrHR8RRi8DNygsLhQ//EABkBAQEAAwEAAAAAAAAAAAAAAAABAgMEBf/EACMRAQEAAgICAgIDAQAAAAAAAAABAhEDIRIxBEEiMlGBkRP/2gAMAwEAAhEDEQA/APpoDAzYkMYgAQwAQDOdtrbNHCQ36srZNqN1vStyA6Bydt9osNg199U8XCnHxVH/AMUfNdvfaLiqylChHuF+ZZzS6y/Y8Lia85XlKc5t5vnfm28/kTa6fU8f9qKi7U8NlnZ1Klm/+MV9TBH7Vq188NDd5KUk/dnzWO/a6W8v7s/qHfyv/p7vC6aV/Rsm10+xbO+1DDzsqtGdPrCUai9smemwHajBV7KniIXf4Z3py9pWufnyFWK+OTh5xc4v1jexqo1Y2bjNNZJyj8FuvGHqkNpp+kEM+Gdnu0+Kwj+6qb1O+dKdnD0XD0sfS+zPbShjJd1Jd1WSvuy+GXPdfPp+pdmnqAACoQDABAMAEAAAhgAEwAAgAAKAAAgx7X2hDDUaleo7Rpxcnf5JdW8j4FtjatXG1nWm3434Yq7cY6JLke++1TaHe1KOCjml99Uina+T3VJ8IpZv0Pn2OcoWhSybV5VbJO3KH5V8+PExtZyJ1I06UbfFJ5tQtk/7mznus76e/wC5rw2y51GlFSk+jdvf+TuYXsTUlZt7vRybZhc5GyceV+nmY1ai0Xs2i6Mpt3s/O37NHuMN2QjG13c6FPYUVpw5pPIwvJGycF+3zvflpJby5xtf1TWZi7iLldJwlwlT8D9tPRn1ZbCpPPcz/wBqSKa3ZejK+W68/Rk/6xb8evmM6coJTi+rjHJPm0uD5x/g1YfEyUqdWD3ZKzjOOXiVsuj06aaHsMT2Uau4u6fD/Op5naOwqtG9k9xtuy4Pn+hnM5WvLiyj7V2V2msRh6c+Mknbk9JJcle+R2j8/wCwO2WJwfggotJ5qV3lxSs1Y+ydkO0cNoUO9jHclF7s4XTtK18uhtl202O4AxFQgGACESEAgGICYDAIBDAoCuvVUIynJ2jFOTb4JK7LDz3b3FKngMQ72co7izs96Tsrfr6EHxrau2JVa9eu85Vpyab/ACJ5R5WVo+yOlsXYsqzVSp+Kz9DibNwne14QVnFPN8N1PRdD6hgqCikkuhzcuWunZwYS91bgNnwppKMUkrHRUEQp2NNKz4mh1qO6L4UVyJumiajyApnSXBFMomxwK5xQqsTVjJiqKks1c6VW1tTDVZjs1t8z7UbJVGqppeCTu/7T0H2SY/usXUoN+GvG6Vvxwu/T8Rs7SYRVaE1xWZ4HZ2PlQxNCstaVRS1a0d7X8m0dXFluOHnw8a/SQFeGrKpCM46TSkudmWHQ5QAAAgGIKBDAiJAAyhAMAEfPvtfxm7QpUkvik5N24LJJe/yPoR8/+1nCuVOlP8MN7PqyVZ7eG7HYVbzqS6tL6nvqWiPMdlcP4b2tp8v8R6SpJR14HFyXdenw46xb6b4F1GDucWhtZZpLeenI6GC2u9J0mlzUuHkyzBlc5HTimuORNXCFeMtE/Nl24LDapsz1ZPlc17pmxFeMVz8ieJuMVWL5Gaov8RZV2nHRwfzftkY8RtOC0i8uYuFPOIYiG8muDTR8x21gtyo7aX9mfUKVpZxd0+R5Ttbs6y34rin8y8V1dNfPjvHb6d2KlN4Ghv3uo28TTulo7rVHcOL2MoShgaClru39G8vkds7XnEAxBAAAACGADGAAAAAAea7f4ffwc7K7i1K/Kx6U5HauUf6WtCUt1zjKKybd/JCspLb08L2ap2pJ67zbOjiqW8uWhj7Pr7pr8smjfUqqz6HDl1XqYd4wsDhILhdrn9EdKlQXBenI85Tx737QjOo7rKCyWfGTyRCh2qk63cqit60pOMqu7NOM9y2cUm+Ks9DKTK+kyuOPt6+nllaxqpzOXszaka90spRdpRdm0/Nao6sI2TEEZ6cyh2/k02TWRx9qYvuE5STaWSSTbb5Ilq6TrUIvVLL0MuKwlNr4VHhdcTibS7USpd050oLvZQjHerSvaTau2oOMbWzu75o1S2o2oylCUYyu01442TtfeV7Lir2uXWUm2G8bdfbXQwcYZrK7MHaKlvUJPinFrzub4YxTirZ+TKdrxvQndauGV7fiXEwn7Msp+Ne42XG1CktLQh+hqMGx8ZGpBRS3XTSi43TtZdDoHdLLNx5mWNxuqQABWIEMAEAABIAGAgAYAeb7T4Rzq0JX8Npxa6pN/U9Icrb2lN8m/oYcn6t/xrrkjyGz8PuOtCztvKWfG6/8L40FJ2ehrk7t9LR9E2i3DU073OXJ6E63FMMMl/p2X6exJ4KpN3c0vKJsjR5GlQ3VduxBmw2FjDRWfGVtbFlSvmR/qY8F5Pn18iEINu5dGlvecBypp6r/AMKpQd7k1iss1d/qNLYy1Nn2d42z6FdWg3rGDtwaOnSnGSumEqJNI4rwVs0rdEKtTdoJK/jT9Em/odevDKxhr1O7Tlru5/QRPbZsZxhiZJf/AEhCfrn+x6I89salvV9/hGNvS7dvmeiOnh/Vx/L15/0QABtcpAMQAAAAxgAAAAAGTatPepS/t8Xtr8rmshiI3hNWveMlb0JZuMsLrKV43RyXPP6muhqYquU0aaUszkerPbrRkoxvxONtidSpaMOOr6cjdKeWbMlLEKWazzfyJ7qya7Tw+7HKeVl9Ddh68LdNTDWoxrxcZxuuqMkMG6No03aP5Xml5cjZpL27lScd0xSrUpZQab42aeZiqqpJ7rkt3pk30uaKGGUNF6k0m9McJTp1L/hlquT5ncw2JUrGDE5pley6+9vRatKLsY3pd7jpYqzeRzq8FO6emXyd/oa5S+Rn3b6dSMXZ2HTtCUvzyb9Fp9TpGfARtSpq1vCsjQdeE1jHncmW87QAAZNZAMQCAYAMAAAABgIYAB5jtJR3ailbKaT/AOSyf0MVKeZ6XbOF7yk7K8o+JfVex5mKsc3JjrJ6PBnvGT+F2NoSnSmou0nGVnxvY506joU4+GW7BLOMHJ6ZvLzOzhZ8CTjqvPI1zpurh7I2t/UpOgpTT4vditZLO7vrF+x2cPgsTLdbppeFSzmtOT6nHWD7iq50aajvPelux8MnZpOSXHN5nXwu0Zq26npFWcnwWeTRmms/rTQsDXag1TjFN28crtZN3aX7nN25iJYWjKtVdNQje/jad72illm3Y2zx1e3xcuErp3vw9jnywDqzU6sb2d1vr4c7+FcNXn1F2njn96jHsXH18TDvP6Z0YvR1J+Jrnu2y9TqYLCuG9JvOTu/ZL6G6KSVkU1JWRhlVirfNWy4XqR42u37fwYJM7Ww6eUp8/CvJa/50LxzeUaubLWNdUBiOx5wAAABDEAAAAMAGUAAAAMBEDPNbUwu5N2Xhd5LpzR6Rnnu1WJ7uphY8Kkpw9oOX/Uw5J+O27gt8tObCq000bVK6ujBVjZ+Zbha1snxOZ3tShxTzFOM1yfkrFtJrQnVaLF32rpb7429mOas88+rJ4a2gV2gdbVupaLfMx95e5ZVd8jOomFSVfRpObUVx4npsNSUIqK0SscbZUlvvna31O9E6eLHU24vkZW3RgAG1zgQwAQDABAAAMBAAwEADIznYlYg4XZlIJ0FxZ5P7R4OP9FW4UsRHe/2zhOH/AGR7Gmjn9pNmrE4epSeTksn+Wazi/RpMx5JvGxt4cvHOV5qrG6TWf1RnvzHseo3T3J5OPhaeqksmvc0zw5wSvRsV70lpn5aj/q+eXmCptaZDVR8Vf0Nm2HcOWKXB59CynJsUZrkWK42ndQkQjEucSnFT3Y5fFJqEf90nZP0ua6ykatlxe9J9cvT+D0Em0rpX6GDZ2E3YxXJWOqo5HZxzU04ea7u1VKqpL5EynuUrpaPPyY6cmsnnY2NK0BKVyRAgGIAAAAiK/qFvX5ImkXQio8/YazdiUsgpr5lU2DQcRrUQq2KJSV1YrlNJNt2SzbeiOBtjFyrRlTi3CDyusnLz6dASOXtzCuhX72K+7rZ3Wino/fX3L6Mt5ZZ9OPoQ2Gt6M8LW+B3cb6wn/b56irYWeHlaWj0lwZx8vHcbuenocXJ5TxvuJTsQRqpzjJZinhY6p2NbYqikTSRZSw8Vq94lUklpkEUtc/YpweHdbEQdvu6Sc78HUeSXonJ+xdgsPOvU3NILxTmn+HhFdX+56NUYwSUUklkkuRs4uPfdauXk8fx+zp07Fqkvhut7Xdut7d0vbkV3ybeSXE87tCrN1e8jeLjZR5pL+X7nXI4729HKJCrHRlezsYq0L6SWUo9ea6F9VZCsZ1UHHiNEqOeQ1GzsRURClBrTQEwxMAGBfKgiCp2LpSIyKrNU1sWJEYK7uWFVXYkiSiQr6WQRytpVnN20iuHN82UYahc3LDbxpw2Hsirthr7LvaUcpL5rkzTRanHcmk2uElc3JFVWgnnxIbc6tseL/wBN7j5P4X+xzq0JQe7NNP5PquZ6KErZMlicNGpG0ldc1rF80aM+GX1034c9nWXcebXmUzpuUlGCvKWS+tynaVSWHnuSeWsZWylE7ewcI1HvZq0prJPWMPo2aMeO3LTpzzmOPl/joYLDxowUI5vVy4ylxbJzfqyTyIKJ2SacFu7sSg2s/wDwwYjCXOpwE4XKjhUKcqc1KPDVcGuKZ3E1KN1oyLwyZKhT3cuAKhRyZdNEXCzLWiBbt0VTotdUaIIl0CMLVuoGiUBlQUncjWYYX4bhLNhUYqyJJCZJAMjKNxiuAKKBA2IoY7kQAU0mVxqW4+v7kpMoqyAdfBU6koTqRU9x70U80pc/86GmoxRSskRnqyGyJpCiiaALEkK40BJAIZAWGwGwCAVdUwROosvmBFICVLQCClK0UuhBlkyp5syDiiQCACLGxAFgYxMoGRcgbISYEXmVYnWK5tF9NGbFZ1ILqijcVvUmiM9SJEkMSYyKBpkWNATuFyJJASTGRJIgIlvApWpatAIOVkBGfIAI1JCirAkSKIsQAAmAMRQ0KRIjIgi2QGwSKJQMjzrR6X/Q2GWir1W+SYGwhJZkxS19AiIKRJkbBTY0NQbGoMiEOLzHuMO7fMB2JIFFjUWFKXMsjoR3WwjdakEZ6iHLVeogEgkMhJlAhiQMCLY0RJooCEibIMCNiSQJDATKcOvvJ+SLWVYV/eT8kBpT1VtBSadvUnb5kJx09QhMQMAqynoSIU3kSuENMkmQTHcCwZGJIgkhSGhMiq2BVjZuMLrmgBI//9k=",1017,https://www.channelnewsasia.com/singapore/ge2020-potong-pasir-sitoh-yih-pin-pap-spp-952606
